aoi_type,aoi,pos_x,pos_y,width,height
word,a,741.5,1081.695652173913,43.0,67.0
word,group,784.5,1081.695652173913,146.0,67.0
word,of,930.5,1081.695652173913,62.0,67.0
word,people,992.5,1081.695652173913,167.0,67.0
word,sitting,1159.5,1081.695652173913,159.0,67.0
word,on,1318.5,1081.695652173913,72.0,67.0
word,a,1390.5,1081.695652173913,43.0,67.0
word,bus,1433.5,1081.695652173913,98.0,67.0
word,in,1531.5,1081.695652173913,57.0,67.0
word,the,1588.5,1081.695652173913,88.0,67.0
word,water,1676.5,1081.695652173913,142.0,67.0
image,,775.0,291.0,1010.0,758.0
