aoi_type,aoi,pos_x,pos_y,width,height
word,a,653.5,1081.695652173913,43.0,67.0
word,woman,696.5,1081.695652173913,179.0,67.0
word,with,875.5,1081.695652173913,111.0,67.0
word,an,986.5,1081.695652173913,71.0,67.0
word,umbrella,1057.5,1081.695652173913,212.0,67.0
word,is,1269.5,1081.695652173913,55.0,67.0
word,standing,1324.5,1081.695652173913,212.0,67.0
word,near,1536.5,1081.695652173913,116.0,67.0
word,a,1652.5,1081.695652173913,43.0,67.0
word,elephant,1695.5,1081.695652173913,211.0,67.0
image,,775.0,291.0,1010.0,758.0
