aoi_type,aoi,pos_x,pos_y,width,height
word,some,645.0,1081.695652173913,140.0,67.0
word,people,785.0,1081.695652173913,167.0,67.0
word,at,952.0,1081.695652173913,60.0,67.0
word,tables,1012.0,1081.695652173913,154.0,67.0
word,with,1166.0,1081.695652173913,111.0,67.0
word,food,1277.0,1081.695652173913,118.0,67.0
word,and,1395.0,1081.695652173913,99.0,67.0
word,drinks,1494.0,1081.695652173913,156.0,67.0
word,and,1650.0,1081.695652173913,99.0,67.0
word,a,1749.0,1081.695652173913,43.0,67.0
word,oven,1792.0,1081.695652173913,123.0,67.0
image,,775.0,291.0,1010.0,758.0
