aoi_type,aoi,pos_x,pos_y,width,height
word,a,681.5,1081.695652173913,43.0,67.0
word,woman,724.5,1081.695652173913,179.0,67.0
word,holding,903.5,1081.695652173913,183.0,67.0
word,a,1086.5,1081.695652173913,43.0,67.0
word,black,1129.5,1081.695652173913,138.0,67.0
word,backpack,1267.5,1081.695652173913,233.0,67.0
word,next,1500.5,1081.695652173913,113.0,67.0
word,to,1613.5,1081.695652173913,60.0,67.0
word,a,1673.5,1081.695652173913,43.0,67.0
word,street.,1716.5,1081.695652173913,162.0,67.0
image,,775.0,291.0,1010.0,758.0
