aoi_type,aoi,pos_x,pos_y,width,height
word,a,735.0,1081.695652173913,43.0,67.0
word,close,778.0,1081.695652173913,136.0,67.0
word,up,914.0,1081.695652173913,72.0,67.0
word,of,986.0,1081.695652173913,62.0,67.0
word,an,1048.0,1081.695652173913,71.0,67.0
word,orange,1119.0,1081.695652173913,172.0,67.0
word,on,1291.0,1081.695652173913,72.0,67.0
word,a,1363.0,1081.695652173913,43.0,67.0
word,black,1406.0,1081.695652173913,138.0,67.0
word,background,1544.0,1081.695652173913,281.0,67.0
image,,775.0,291.0,1010.0,758.0
