aoi_type,aoi,pos_x,pos_y,width,height
word,an,734.0,1081.695652173913,71.0,67.0
word,older,805.0,1081.695652173913,130.0,67.0
word,woman,935.0,1081.695652173913,179.0,67.0
word,standing,1114.0,1081.695652173913,212.0,67.0
word,near,1326.0,1081.695652173913,116.0,67.0
word,a,1442.0,1081.695652173913,43.0,67.0
word,vase,1485.0,1081.695652173913,120.0,67.0
word,on,1605.0,1081.695652173913,72.0,67.0
word,a,1677.0,1081.695652173913,43.0,67.0
word,wall,1720.0,1081.695652173913,106.0,67.0
image,,775.0,291.0,1010.0,758.0
