aoi_type,aoi,pos_x,pos_y,width,height
word,A,696.0,1081.695652173913,50.0,67.0
word,man,746.0,1081.695652173913,114.0,67.0
word,and,860.0,1081.695652173913,99.0,67.0
word,woman,959.0,1081.695652173913,179.0,67.0
word,posing,1138.0,1081.695652173913,168.0,67.0
word,for,1306.0,1081.695652173913,80.0,67.0
word,a,1386.0,1081.695652173913,43.0,67.0
word,photo,1429.0,1081.695652173913,144.0,67.0
word,with,1573.0,1081.695652173913,111.0,67.0
word,a,1684.0,1081.695652173913,43.0,67.0
word,cake.,1727.0,1081.695652173913,137.0,67.0
image,,775.0,291.0,1010.0,758.0
