aoi_type,aoi,pos_x,pos_y,width,height
word,a,598.5,1081.695652173913,43.0,67.0
word,elephant,641.5,1081.695652173913,211.0,67.0
word,and,852.5,1081.695652173913,99.0,67.0
word,two,951.5,1081.695652173913,98.0,67.0
word,zebra,1049.5,1081.695652173913,139.0,67.0
word,drinking,1188.5,1081.695652173913,200.0,67.0
word,water,1388.5,1081.695652173913,142.0,67.0
word,next,1530.5,1081.695652173913,113.0,67.0
word,to,1643.5,1081.695652173913,60.0,67.0
word,each,1703.5,1081.695652173913,124.0,67.0
word,other,1827.5,1081.695652173913,134.0,67.0
image,,775.0,291.0,1010.0,758.0
