aoi_type,aoi,pos_x,pos_y,width,height
word,a,830.0,1081.695652173913,43.0,67.0
word,close,873.0,1081.695652173913,136.0,67.0
word,up,1009.0,1081.695652173913,72.0,67.0
word,of,1081.0,1081.695652173913,62.0,67.0
word,a,1143.0,1081.695652173913,43.0,67.0
word,tray,1186.0,1081.695652173913,102.0,67.0
word,of,1288.0,1081.695652173913,62.0,67.0
word,food,1350.0,1081.695652173913,118.0,67.0
word,with,1468.0,1081.695652173913,111.0,67.0
word,a,1579.0,1081.695652173913,43.0,67.0
word,fork,1622.0,1081.695652173913,108.0,67.0
image,,775.0,291.0,1010.0,758.0
