aoi_type,aoi,pos_x,pos_y,width,height
word,a,792.0,1081.695652173913,43.0,67.0
word,close,835.0,1081.695652173913,136.0,67.0
word,up,971.0,1081.695652173913,72.0,67.0
word,of,1043.0,1081.695652173913,62.0,67.0
word,a,1105.0,1081.695652173913,43.0,67.0
word,cat,1148.0,1081.695652173913,86.0,67.0
word,laying,1234.0,1081.695652173913,150.0,67.0
word,next,1384.0,1081.695652173913,113.0,67.0
word,to,1497.0,1081.695652173913,60.0,67.0
word,a,1557.0,1081.695652173913,43.0,67.0
word,mouse,1600.0,1081.695652173913,168.0,67.0
image,,775.0,291.0,1010.0,758.0
