aoi_type,aoi,pos_x,pos_y,width,height
word,a,791.5,1081.695652173913,43.0,67.0
word,very,834.5,1081.695652173913,112.0,67.0
word,big,946.5,1081.695652173913,86.0,67.0
word,city,1032.5,1081.695652173913,98.0,67.0
word,clock,1130.5,1081.695652173913,137.0,67.0
word,at,1267.5,1081.695652173913,60.0,67.0
word,a,1327.5,1081.695652173913,43.0,67.0
word,wall,1370.5,1081.695652173913,106.0,67.0
word,in,1476.5,1081.695652173913,57.0,67.0
word,the,1533.5,1081.695652173913,88.0,67.0
word,street,1621.5,1081.695652173913,147.0,67.0
image,,775.0,291.0,1010.0,758.0
