aoi_type,aoi,pos_x,pos_y,width,height
word,two,580.5,1081.695652173913,98.0,67.0
word,people,678.5,1081.695652173913,167.0,67.0
word,making,845.5,1081.695652173913,183.0,67.0
word,their,1028.5,1081.695652173913,119.0,67.0
word,way,1147.5,1081.695652173913,105.0,67.0
word,though,1252.5,1081.695652173913,174.0,67.0
word,the,1426.5,1081.695652173913,88.0,67.0
word,snow,1514.5,1081.695652173913,135.0,67.0
word,with,1649.5,1081.695652173913,111.0,67.0
word,their,1760.5,1081.695652173913,119.0,67.0
word,kite,1879.5,1081.695652173913,100.0,67.0
image,,775.0,291.0,1010.0,758.0
