aoi_type,aoi,pos_x,pos_y,width,height
word,a,802.0,1081.695652173913,43.0,67.0
word,person,845.0,1081.695652173913,171.0,67.0
word,riding,1016.0,1081.695652173913,145.0,67.0
word,a,1161.0,1081.695652173913,43.0,67.0
word,camel,1204.0,1081.695652173913,152.0,67.0
word,in,1356.0,1081.695652173913,57.0,67.0
word,front,1413.0,1081.695652173913,124.0,67.0
word,of,1537.0,1081.695652173913,62.0,67.0
word,a,1599.0,1081.695652173913,43.0,67.0
word,boat,1642.0,1081.695652173913,116.0,67.0
image,,775.0,291.0,1010.0,758.0
