aoi_type,aoi,pos_x,pos_y,width,height
word,a,793.0,1081.695652173913,43.0,67.0
word,cup,836.0,1081.695652173913,98.0,67.0
word,full,934.0,1081.695652173913,88.0,67.0
word,of,1022.0,1081.695652173913,62.0,67.0
word,fruit,1084.0,1081.695652173913,110.0,67.0
word,and,1194.0,1081.695652173913,99.0,67.0
word,an,1293.0,1081.695652173913,71.0,67.0
word,onion,1364.0,1081.695652173913,141.0,67.0
word,are,1505.0,1081.695652173913,87.0,67.0
word,set,1592.0,1081.695652173913,86.0,67.0
word,out,1678.0,1081.695652173913,89.0,67.0
image,,775.0,291.0,1010.0,758.0
