aoi_type,aoi,pos_x,pos_y,width,height
word,a,651.5,1081.695652173913,43.0,67.0
word,male,694.5,1081.695652173913,126.0,67.0
word,dressed,820.5,1081.695652173913,195.0,67.0
word,in,1015.5,1081.695652173913,57.0,67.0
word,winter,1072.5,1081.695652173913,156.0,67.0
word,attire,1228.5,1081.695652173913,134.0,67.0
word,stands,1362.5,1081.695652173913,168.0,67.0
word,on,1530.5,1081.695652173913,72.0,67.0
word,a,1602.5,1081.695652173913,43.0,67.0
word,snowboard,1645.5,1081.695652173913,263.0,67.0
image,,775.0,291.0,1010.0,758.0
