aoi_type,aoi,pos_x,pos_y,width,height
word,a,670.0,1081.695652173913,43.0,67.0
word,newly,713.0,1081.695652173913,147.0,67.0
word,shaved,860.0,1081.695652173913,176.0,67.0
word,sheep,1036.0,1081.695652173913,152.0,67.0
word,walks,1188.0,1081.695652173913,146.0,67.0
word,away,1334.0,1081.695652173913,132.0,67.0
word,from,1466.0,1081.695652173913,122.0,67.0
word,it,1588.0,1081.695652173913,46.0,67.0
word,shaven,1634.0,1081.695652173913,176.0,67.0
word,fur,1810.0,1081.695652173913,80.0,67.0
image,,775.0,291.0,1010.0,758.0
