aoi_type,aoi,pos_x,pos_y,width,height
word,an,758.0,1081.695652173913,71.0,67.0
word,open,829.0,1081.695652173913,127.0,67.0
word,book,956.0,1081.695652173913,128.0,67.0
word,is,1084.0,1081.695652173913,55.0,67.0
word,laying,1139.0,1081.695652173913,150.0,67.0
word,on,1289.0,1081.695652173913,72.0,67.0
word,a,1361.0,1081.695652173913,43.0,67.0
word,table,1404.0,1081.695652173913,128.0,67.0
word,with,1532.0,1081.695652173913,111.0,67.0
word,a,1643.0,1081.695652173913,43.0,67.0
word,mug,1686.0,1081.695652173913,116.0,67.0
image,,775.0,291.0,1010.0,758.0
