aoi_type,aoi,pos_x,pos_y,width,height
word,a,607.5,1081.695652173913,43.0,67.0
word,little,650.5,1081.695652173913,116.0,67.0
word,boy,766.5,1081.695652173913,97.0,67.0
word,holding,863.5,1081.695652173913,183.0,67.0
word,two,1046.5,1081.695652173913,98.0,67.0
word,umbrella,1144.5,1081.695652173913,212.0,67.0
word,standing,1356.5,1081.695652173913,212.0,67.0
word,in,1568.5,1081.695652173913,57.0,67.0
word,a,1625.5,1081.695652173913,43.0,67.0
word,living,1668.5,1081.695652173913,137.0,67.0
word,room.,1805.5,1081.695652173913,147.0,67.0
image,,775.0,291.0,1010.0,758.0
