aoi_type,aoi,pos_x,pos_y,width,height
word,a,810.5,1081.695652173913,43.0,67.0
word,train,853.5,1081.695652173913,118.0,67.0
word,that,971.5,1081.695652173913,105.0,67.0
word,is,1076.5,1081.695652173913,55.0,67.0
word,parked,1131.5,1081.695652173913,170.0,67.0
word,on,1301.5,1081.695652173913,72.0,67.0
word,a,1373.5,1081.695652173913,43.0,67.0
word,rail,1416.5,1081.695652173913,86.0,67.0
word,road,1502.5,1081.695652173913,116.0,67.0
word,track,1618.5,1081.695652173913,131.0,67.0
image,,775.0,291.0,1010.0,758.0
