aoi_type,aoi,pos_x,pos_y,width,height
word,a,798.0,1081.695652173913,43.0,67.0
word,cat,841.0,1081.695652173913,86.0,67.0
word,sits,927.0,1081.695652173913,98.0,67.0
word,on,1025.0,1081.695652173913,72.0,67.0
word,a,1097.0,1081.695652173913,43.0,67.0
word,counter,1140.0,1081.695652173913,188.0,67.0
word,top,1328.0,1081.695652173913,88.0,67.0
word,next,1416.0,1081.695652173913,113.0,67.0
word,to,1529.0,1081.695652173913,60.0,67.0
word,a,1589.0,1081.695652173913,43.0,67.0
word,toilet,1632.0,1081.695652173913,130.0,67.0
image,,775.0,291.0,1010.0,758.0
