aoi_type,aoi,pos_x,pos_y,width,height
word,A,630.0,1081.695652173913,50.0,67.0
word,man,680.0,1081.695652173913,114.0,67.0
word,with,794.0,1081.695652173913,111.0,67.0
word,a,905.0,1081.695652173913,43.0,67.0
word,beard,948.0,1081.695652173913,143.0,67.0
word,eating,1091.0,1081.695652173913,157.0,67.0
word,a,1248.0,1081.695652173913,43.0,67.0
word,sandwich,1291.0,1081.695652173913,229.0,67.0
word,in,1520.0,1081.695652173913,57.0,67.0
word,an,1577.0,1081.695652173913,71.0,67.0
word,automobile.,1648.0,1081.695652173913,282.0,67.0
image,,775.0,291.0,1010.0,758.0
