aoi_type,aoi,pos_x,pos_y,width,height
word,a,621.0,1081.695652173913,43.0,67.0
word,man,664.0,1081.695652173913,114.0,67.0
word,sitting,778.0,1081.695652173913,159.0,67.0
word,in,937.0,1081.695652173913,57.0,67.0
word,a,994.0,1081.695652173913,43.0,67.0
word,car,1037.0,1081.695652173913,87.0,67.0
word,wearing,1124.0,1081.695652173913,195.0,67.0
word,a,1319.0,1081.695652173913,43.0,67.0
word,suitcase,1362.0,1081.695652173913,206.0,67.0
word,and,1568.0,1081.695652173913,99.0,67.0
word,a,1667.0,1081.695652173913,43.0,67.0
word,seat,1710.0,1081.695652173913,113.0,67.0
word,belt.,1823.0,1081.695652173913,116.0,67.0
image,,775.0,291.0,1010.0,758.0
