aoi_type,aoi,pos_x,pos_y,width,height
word,a,560.0,1081.695652173913,43.0,67.0
word,twins,603.0,1081.695652173913,137.0,67.0
word,baseball,740.0,1081.695652173913,205.0,67.0
word,player,945.0,1081.695652173913,153.0,67.0
word,holding,1098.0,1081.695652173913,183.0,67.0
word,his,1281.0,1081.695652173913,83.0,67.0
word,racket,1364.0,1081.695652173913,156.0,67.0
word,walking,1520.0,1081.695652173913,190.0,67.0
word,on,1710.0,1081.695652173913,72.0,67.0
word,the,1782.0,1081.695652173913,88.0,67.0
word,field.,1870.0,1081.695652173913,130.0,67.0
image,,775.0,291.0,1010.0,758.0
