aoi_type,aoi,pos_x,pos_y,width,height
word,a,695.0,1081.695652173913,43.0,67.0
word,male,738.0,1081.695652173913,126.0,67.0
word,in,864.0,1081.695652173913,57.0,67.0
word,a,921.0,1081.695652173913,43.0,67.0
word,black,964.0,1081.695652173913,138.0,67.0
word,shirt,1102.0,1081.695652173913,119.0,67.0
word,some,1221.0,1081.695652173913,140.0,67.0
word,toothbrush,1361.0,1081.695652173913,261.0,67.0
word,and,1622.0,1081.695652173913,99.0,67.0
word,paper,1721.0,1081.695652173913,144.0,67.0
image,,775.0,291.0,1010.0,758.0
