aoi_type,aoi,pos_x,pos_y,width,height
word,a,687.5,1081.695652173913,43.0,67.0
word,boy,730.5,1081.695652173913,97.0,67.0
word,is,827.5,1081.695652173913,55.0,67.0
word,standing,882.5,1081.695652173913,212.0,67.0
word,on,1094.5,1081.695652173913,72.0,67.0
word,a,1166.5,1081.695652173913,43.0,67.0
word,table,1209.5,1081.695652173913,128.0,67.0
word,using,1337.5,1081.695652173913,140.0,67.0
word,the,1477.5,1081.695652173913,88.0,67.0
word,kitchen,1565.5,1081.695652173913,182.0,67.0
word,sink.,1747.5,1081.695652173913,125.0,67.0
image,,775.0,291.0,1010.0,758.0
