aoi_type,aoi,pos_x,pos_y,width,height
word,a,735.5,1081.695652173913,43.0,67.0
word,woman,778.5,1081.695652173913,179.0,67.0
word,shopping,957.5,1081.695652173913,224.0,67.0
word,with,1181.5,1081.695652173913,111.0,67.0
word,her,1292.5,1081.695652173913,89.0,67.0
word,cow,1381.5,1081.695652173913,107.0,67.0
word,at,1488.5,1081.695652173913,60.0,67.0
word,a,1548.5,1081.695652173913,43.0,67.0
word,pet,1591.5,1081.695652173913,88.0,67.0
word,store.,1679.5,1081.695652173913,145.0,67.0
image,,775.0,291.0,1010.0,758.0
