aoi_type,aoi,pos_x,pos_y,width,height
word,a,714.5,1081.695652173913,43.0,67.0
word,group,757.5,1081.695652173913,146.0,67.0
word,of,903.5,1081.695652173913,62.0,67.0
word,suitcases,965.5,1081.695652173913,232.0,67.0
word,sitting,1197.5,1081.695652173913,159.0,67.0
word,by,1356.5,1081.695652173913,69.0,67.0
word,the,1425.5,1081.695652173913,88.0,67.0
word,end,1513.5,1081.695652173913,99.0,67.0
word,of,1612.5,1081.695652173913,62.0,67.0
word,a,1674.5,1081.695652173913,43.0,67.0
word,table,1717.5,1081.695652173913,128.0,67.0
image,,775.0,291.0,1010.0,758.0
