aoi_type,aoi,pos_x,pos_y,width,height
word,white,641.0,1081.695652173913,138.0,67.0
word,puppy,779.0,1081.695652173913,153.0,67.0
word,standing,932.0,1081.695652173913,212.0,67.0
word,on,1144.0,1081.695652173913,72.0,67.0
word,the,1216.0,1081.695652173913,88.0,67.0
word,edge,1304.0,1081.695652173913,127.0,67.0
word,of,1431.0,1081.695652173913,62.0,67.0
word,a,1493.0,1081.695652173913,43.0,67.0
word,black,1536.0,1081.695652173913,138.0,67.0
word,office,1674.0,1081.695652173913,146.0,67.0
word,bed,1820.0,1081.695652173913,99.0,67.0
image,,775.0,291.0,1010.0,758.0
