aoi_type,aoi,pos_x,pos_y,width,height
word,a,804.0,1081.695652173913,43.0,67.0
word,man,847.0,1081.695652173913,114.0,67.0
word,standing,961.0,1081.695652173913,212.0,67.0
word,over,1173.0,1081.695652173913,113.0,67.0
word,an,1286.0,1081.695652173913,71.0,67.0
word,bird,1357.0,1081.695652173913,102.0,67.0
word,in,1459.0,1081.695652173913,57.0,67.0
word,the,1516.0,1081.695652173913,88.0,67.0
word,water.,1604.0,1081.695652173913,152.0,67.0
word,image,0.0,291.3043478260869,2560.0,757.3913043478261
image,,775.0,291.0,1010.0,758.0
