aoi_type,aoi,pos_x,pos_y,width,height
word,a,679.0,1081.695652173913,43.0,67.0
word,person,722.0,1081.695652173913,171.0,67.0
word,holding,893.0,1081.695652173913,183.0,67.0
word,a,1076.0,1081.695652173913,43.0,67.0
word,heart,1119.0,1081.695652173913,134.0,67.0
word,shaped,1253.0,1081.695652173913,180.0,67.0
word,banana,1433.0,1081.695652173913,181.0,67.0
word,in,1614.0,1081.695652173913,57.0,67.0
word,his,1671.0,1081.695652173913,83.0,67.0
word,hand,1754.0,1081.695652173913,127.0,67.0
image,,775.0,291.0,1010.0,758.0
