aoi_type,aoi,pos_x,pos_y,width,height
word,a,865.5,1081.695652173913,43.0,67.0
word,dog,908.5,1081.695652173913,101.0,67.0
word,in,1009.5,1081.695652173913,57.0,67.0
word,a,1066.5,1081.695652173913,43.0,67.0
word,body,1109.5,1081.695652173913,126.0,67.0
word,of,1235.5,1081.695652173913,62.0,67.0
word,water,1297.5,1081.695652173913,142.0,67.0
word,with,1439.5,1081.695652173913,111.0,67.0
word,a,1550.5,1081.695652173913,43.0,67.0
word,fish,1593.5,1081.695652173913,101.0,67.0
image,,775.0,291.0,1010.0,758.0
