aoi_type,aoi,pos_x,pos_y,width,height
word,a,689.0,1081.695652173913,43.0,67.0
word,baseball,732.0,1081.695652173913,205.0,67.0
word,player,937.0,1081.695652173913,153.0,67.0
word,holding,1090.0,1081.695652173913,183.0,67.0
word,a,1273.0,1081.695652173913,43.0,67.0
word,ball,1316.0,1081.695652173913,97.0,67.0
word,next,1413.0,1081.695652173913,113.0,67.0
word,to,1526.0,1081.695652173913,60.0,67.0
word,home,1586.0,1081.695652173913,142.0,67.0
word,plate.,1728.0,1081.695652173913,143.0,67.0
image,,775.0,291.0,1010.0,758.0
