aoi_type,aoi,pos_x,pos_y,width,height
word,a,829.0,1081.695652173913,43.0,67.0
word,kid,872.0,1081.695652173913,84.0,67.0
word,flying,956.0,1081.695652173913,142.0,67.0
word,a,1098.0,1081.695652173913,43.0,67.0
word,ball,1141.0,1081.695652173913,97.0,67.0
word,that,1238.0,1081.695652173913,105.0,67.0
word,is,1343.0,1081.695652173913,55.0,67.0
word,high,1398.0,1081.695652173913,114.0,67.0
word,in,1512.0,1081.695652173913,57.0,67.0
word,the,1569.0,1081.695652173913,88.0,67.0
word,air,1657.0,1081.695652173913,74.0,67.0
image,,775.0,291.0,1010.0,758.0
