aoi_type,aoi,pos_x,pos_y,width,height
word,a,755.0,1081.695652173913,43.0,67.0
word,man,798.0,1081.695652173913,114.0,67.0
word,is,912.0,1081.695652173913,55.0,67.0
word,holding,967.0,1081.695652173913,183.0,67.0
word,a,1150.0,1081.695652173913,43.0,67.0
word,cup,1193.0,1081.695652173913,98.0,67.0
word,in,1291.0,1081.695652173913,57.0,67.0
word,front,1348.0,1081.695652173913,124.0,67.0
word,of,1472.0,1081.695652173913,62.0,67.0
word,the,1534.0,1081.695652173913,88.0,67.0
word,camera,1622.0,1081.695652173913,183.0,67.0
image,,775.0,291.0,1010.0,758.0
