aoi_type,aoi,pos_x,pos_y,width,height
word,a,729.0,1081.695652173913,43.0,67.0
word,gray,772.0,1081.695652173913,114.0,67.0
word,bear,886.0,1081.695652173913,116.0,67.0
word,is,1002.0,1081.695652173913,55.0,67.0
word,standing,1057.0,1081.695652173913,212.0,67.0
word,in,1269.0,1081.695652173913,57.0,67.0
word,front,1326.0,1081.695652173913,124.0,67.0
word,of,1450.0,1081.695652173913,62.0,67.0
word,a,1512.0,1081.695652173913,43.0,67.0
word,fire,1555.0,1081.695652173913,91.0,67.0
word,hydrant,1646.0,1081.695652173913,185.0,67.0
image,,775.0,291.0,1010.0,758.0
