aoi_type,aoi,pos_x,pos_y,width,height
word,a,623.5,1081.695652173913,43.0,67.0
word,white,666.5,1081.695652173913,138.0,67.0
word,bunk,804.5,1081.695652173913,128.0,67.0
word,bed,932.5,1081.695652173913,99.0,67.0
word,a,1031.5,1081.695652173913,43.0,67.0
word,wooden,1074.5,1081.695652173913,192.0,67.0
word,toilet,1266.5,1081.695652173913,130.0,67.0
word,and,1396.5,1081.695652173913,99.0,67.0
word,two,1495.5,1081.695652173913,98.0,67.0
word,waste,1593.5,1081.695652173913,150.0,67.0
word,baskets,1743.5,1081.695652173913,193.0,67.0
image,,775.0,291.0,1010.0,758.0
