aoi_type,aoi,pos_x,pos_y,width,height
word,a,717.0,1081.695652173913,43.0,67.0
word,person,760.0,1081.695652173913,171.0,67.0
word,with,931.0,1081.695652173913,111.0,67.0
word,a,1042.0,1081.695652173913,43.0,67.0
word,wooden,1085.0,1081.695652173913,192.0,67.0
word,bowl,1277.0,1081.695652173913,122.0,67.0
word,with,1399.0,1081.695652173913,111.0,67.0
word,loafs,1510.0,1081.695652173913,128.0,67.0
word,of,1638.0,1081.695652173913,62.0,67.0
word,bread,1700.0,1081.695652173913,143.0,67.0
image,,775.0,291.0,1010.0,758.0
