aoi_type,aoi,pos_x,pos_y,width,height
word,a,676.5,1081.695652173913,43.0,67.0
word,woman,719.5,1081.695652173913,179.0,67.0
word,leads,898.5,1081.695652173913,137.0,67.0
word,a,1035.5,1081.695652173913,43.0,67.0
word,elephant,1078.5,1081.695652173913,211.0,67.0
word,while,1289.5,1081.695652173913,134.0,67.0
word,a,1423.5,1081.695652173913,43.0,67.0
word,person,1466.5,1081.695652173913,171.0,67.0
word,is,1637.5,1081.695652173913,55.0,67.0
word,riding,1692.5,1081.695652173913,145.0,67.0
word,it,1837.5,1081.695652173913,46.0,67.0
image,,775.0,291.0,1010.0,758.0
