aoi_type,aoi,pos_x,pos_y,width,height
word,a,826.0,1081.695652173913,43.0,67.0
word,car,869.0,1081.695652173913,87.0,67.0
word,that,956.0,1081.695652173913,105.0,67.0
word,is,1061.0,1081.695652173913,55.0,67.0
word,parked,1116.0,1081.695652173913,170.0,67.0
word,on,1286.0,1081.695652173913,72.0,67.0
word,a,1358.0,1081.695652173913,43.0,67.0
word,rail,1401.0,1081.695652173913,86.0,67.0
word,road,1487.0,1081.695652173913,116.0,67.0
word,track,1603.0,1081.695652173913,131.0,67.0
image,,775.0,291.0,1010.0,758.0
