aoi_type,aoi,pos_x,pos_y,width,height
word,a,820.0,1081.695652173913,43.0,67.0
word,close,863.0,1081.695652173913,136.0,67.0
word,up,999.0,1081.695652173913,72.0,67.0
word,of,1071.0,1081.695652173913,62.0,67.0
word,a,1133.0,1081.695652173913,43.0,67.0
word,tray,1176.0,1081.695652173913,102.0,67.0
word,of,1278.0,1081.695652173913,62.0,67.0
word,food,1340.0,1081.695652173913,118.0,67.0
word,with,1458.0,1081.695652173913,111.0,67.0
word,a,1569.0,1081.695652173913,43.0,67.0
word,knife,1612.0,1081.695652173913,128.0,67.0
image,,775.0,291.0,1010.0,758.0
