aoi_type,aoi,pos_x,pos_y,width,height
word,there,768.0,1081.695652173913,132.0,67.0
word,is,900.0,1081.695652173913,55.0,67.0
word,a,955.0,1081.695652173913,43.0,67.0
word,silver,998.0,1081.695652173913,137.0,67.0
word,alarm,1135.0,1081.695652173913,144.0,67.0
word,clock,1279.0,1081.695652173913,137.0,67.0
word,with,1416.0,1081.695652173913,111.0,67.0
word,a,1527.0,1081.695652173913,43.0,67.0
word,keyboard,1570.0,1081.695652173913,222.0,67.0
word,image,0.0,291.3043478260869,2560.0,757.3913043478261
image,,775.0,291.0,1010.0,758.0
