aoi_type,aoi,pos_x,pos_y,width,height
word,a,741.5,1081.695652173913,43.0,67.0
word,refrigerator,784.5,1081.695652173913,272.0,67.0
word,that,1056.5,1081.695652173913,105.0,67.0
word,has,1161.5,1081.695652173913,97.0,67.0
word,some,1258.5,1081.695652173913,140.0,67.0
word,kind,1398.5,1081.695652173913,112.0,67.0
word,of,1510.5,1081.695652173913,62.0,67.0
word,bread,1572.5,1081.695652173913,143.0,67.0
word,in,1715.5,1081.695652173913,57.0,67.0
word,it,1772.5,1081.695652173913,46.0,67.0
image,,775.0,291.0,1010.0,758.0
